tenant,brand,product_name,source_system,source_entity,source_column,landing_column,conformance_column,silver_column,source_type_name,target_type_name,nullable_flag,default_value,transform_expression,is_active
ikea,ikea,connect,cemc,ftsdetails,IS_COUNTRY_MITIGATED,is_country_mitigated,is_country_mitigated,is_country_mitigated,int,int,false,,IS_COUNTRY_MITIGATED,true
ikea,ikea,connect,cemc,ftsdetails,MAT_DIST_CODE,mat_dist_code,mat_dist_code,mat_dist_code,string,string,true,,MAT_DIST_CODE,true
ikea,ikea,connect,cemc,ftsdetails,IS_GEO_DDS,is_geo_dds,is_geo_dds,is_geo_dds,int,int,true,,IS_GEO_DDS,true
ikea,ikea,connect,cemc,ftsdetails,REGULATION_TYPE,regulation_type,regulation_type,regulation_type,string,string,true,,REGULATION_TYPE,true
ikea,ikea,connect,cemc,ftsdetails,COMMENT_MSG,comment_msg,comment_msg,comment_msg,string,string,true,,COMMENT_MSG,true
ikea,ikea,connect,cemc,ftsdetails,REPORT_START_DATE,report_start_date,report_start_date,report_start_date,date,date,false,,REPORT_START_DATE,true
ikea,ikea,connect,cemc,ftsdetails,REPORT_END_DATE,report_end_date,report_end_date,report_end_date,date,date,false,,REPORT_END_DATE,true
ikea,ikea,connect,cemc,ftsdetails,SMALL_VOLUME,small_volume,small_volume,small_volume,int,int,false,,SMALL_VOLUME,true
ikea,ikea,connect,cemc,ftsdetails,MSS_EXCEPTION,mss_exception,mss_exception,mss_exception,int,int,false,,MSS_EXCEPTION,true
ikea,ikea,connect,cemc,ftsdetails,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,ftsdetails,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,ftsdetails,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,ftsdetails,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,ftsdetails,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,ftsdetails,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,ftsquestion,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
